No,year,month,day,hour,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1,2013,3,1,0,4,4,4,7,300,77,-0.7,1023,-18.8,0,NNW,4.4,Aotizhongxin
13,2013,3,1,12,3,6,7,13,300,74,3.9,1027.3,-19.7,0,NNW,5.1,Aotizhongxin
25,2013,3,2,0,22,24,24,44,500,44,-0.4,1031,-17.6,0,ENE,1.4,Aotizhongxin
37,2013,3,2,12,26,30,25,76,900,22,2.7,1027.3,-16.4,0,WSW,2.7,Aotizhongxin
49,2013,3,3,0,112,130,73,100,1899,2,-1.4,1020.4,-13,0,NNE,1.2,Aotizhongxin
61,2013,3,3,12,91,108,77,99,1600,14,13.8,1012.5,-13.3,0,W,1.1,Aotizhongxin
73,2013,3,4,0,42,83,51,86,1300,4,7.7,1015.7,-11.1,0,N,2.6,Aotizhongxin
85,2013,3,4,12,13,28,12,14,400,77,14.2,1018.9,-13.9,0,N,2.7,Aotizhongxin
97,2013,3,5,0,71,108,66,78,1100,84,4.7,1015.2,-9.1,0,SW,1.6,Aotizhongxin
109,2013,3,5,12,142,184,104,136,2299,15,11.9,1009.7,-7.5,0,NNW,1.3,Aotizhongxin
121,2013,3,6,0,284,315,133,174,4000,28,4.9,1008.5,-6.4,0,NE,1.2,Aotizhongxin
133,2013,3,6,12,192,219,124,113,2299,22,11.1,1006.9,-4.2,0,ENE,0.4,Aotizhongxin
145,2013,3,7,0,250,319,102,139,4000,17,1.5,1007.1,-2.6,0,NNE,0.8,Aotizhongxin
157,2013,3,7,12,255,311,154,201,4000,17,17.1,1001.6,-3.1,0,SSW,3.7,Aotizhongxin
169,2013,3,8,0,344,389,107,195,3799,84,4.1,998.2,-1.3,0,ESE,0,Aotizhongxin
181,2013,3,8,12,104,194,37,101,1399,84,21.7,999.4,-2.3,0,S,3,Aotizhongxin
193,2013,3,9,0,49,67,53,70,1600,68,3.6,996.1,-2.6,0,W,0.6,Aotizhongxin
205,2013,3,9,12,78,NA,10,10,300,68,12.4,1004.3,-14.4,0,NW,7.9,Aotizhongxin
217,2013,3,10,0,11,15,6,16,400,82,-0.5,1020.8,-13.4,0,N,0,Aotizhongxin
229,2013,3,10,12,28,56,21,34,700,82,10.4,1021,-14.4,0,SSW,0.4,Aotizhongxin
241,2013,3,11,0,90,147,55,69,1100,84,0.3,1018.5,-8.7,0,SW,1.4,Aotizhongxin
253,2013,3,11,12,149,207,99,118,2200,84,9.7,1013.4,-7.5,0,NNW,1.6,Aotizhongxin
265,2013,3,12,0,89,124,50,80,1100,47,6.3,1007.5,-2.8,0,WNW,1,Aotizhongxin
277,2013,3,12,12,132,87,14,75,1600,47,4.8,1006.8,2.2,0,N,1.5,Aotizhongxin
289,2013,3,13,0,22,22,28,21,400,56,3.4,1018.5,-7.1,0,NNW,0.9,Aotizhongxin
301,2013,3,13,12,12,6,10,19,400,71,7.6,1023.7,-11.7,0,ENE,3.5,Aotizhongxin
313,2013,3,14,0,62,113,19,71,1100,77,2.5,1024.2,-3.8,0,SSW,2.4,Aotizhongxin
325,2013,3,14,12,97,125,61,77,1700,77,7.2,1021.3,-3.7,0,SW,3.4,Aotizhongxin
337,2013,3,15,0,165,176,46,91,1700,52,2.3,1017.8,-2.2,0,NE,1.2,Aotizhongxin
349,2013,3,15,12,110,331,125,91,1700,17,10.3,1013.2,-2.1,0,WSW,1.6,Aotizhongxin
361,2013,3,16,0,355,411,63,118,3299,44,6.5,1015.6,0.6,0,NE,1.1,Aotizhongxin
373,2013,3,16,12,227,207,88,84,1899,54,14,1018.5,-0.9,0,SE,2.2,Aotizhongxin
385,2013,3,17,0,166,192,50,86,1500,94,7.2,1012.2,2.1,0,SSW,1.5,Aotizhongxin
397,2013,3,17,12,322,326,126,146,3000,94,14.4,1000.1,2.9,0,SSW,1.2,Aotizhongxin
409,2013,3,18,0,450,494,48,156,4099,107,9,995.9,2.8,0,N,1.8,Aotizhongxin
421,2013,3,18,12,8,6,17,138,600,107,11.7,1003.6,-15.9,0,NNW,2.4,Aotizhongxin
433,2013,3,19,0,31,46,20,38,1000,34,2.5,1005.5,-4.5,0,NNE,1.9,Aotizhongxin
445,2013,3,19,12,60,63,20,35,700,28,3.5,1007.4,-0.2,0,N,2.1,Aotizhongxin
457,2013,3,20,0,68,78,6,43,800,8,-0.3,1017.4,-0.6,1,SE,0,Aotizhongxin
469,2013,3,20,12,27,6,19,27,600,57,3.8,1018.8,-5.2,0,WSW,2.4,Aotizhongxin
481,2013,3,21,0,92,108,8,51,1000,26,1.9,1011.3,-2.6,0,SW,2.3,Aotizhongxin
493,2013,3,21,12,162,172,44,88,1600,10,6.2,1002.1,-1.5,0,ENE,2,Aotizhongxin
505,2013,3,22,0,202,209,18,115,1700,2,3.4,1007.6,-0.1,0,ENE,0.8,Aotizhongxin
517,2013,3,22,12,63,157,51,57,1200,39,9.2,1012.5,-3.7,0,WSW,5,Aotizhongxin
529,2013,3,23,0,64,93,15,85,1500,2,2.7,1010.7,-3,0,SSE,1.7,Aotizhongxin
541,2013,3,23,12,81,111,76,66,NA,22,5.1,1004.4,-5,0,N,0.9,Aotizhongxin
553,2013,3,24,0,6,14,3,11,NA,75,2.7,1017.3,-14,0,NNE,2.2,Aotizhongxin
565,2013,3,24,12,10,12,13,15,NA,71,8.8,1016.3,-15,0,ENE,1.8,Aotizhongxin
577,2013,3,25,0,56,108,30,79,NA,7.2828,0.3,1016.2,-4.3,0,E,0.4,Aotizhongxin
589,2013,3,25,12,111,124,73,85,NA,32.7726,9.2,1015.5,-5.5,0,SSE,2.3,Aotizhongxin
601,2013,3,26,0,101,161,45,102,1000,16,1.7,1011.8,-1.9,0,NW,0.7,Aotizhongxin
613,2013,3,26,12,220,256,76,95,1500,17,10.7,1007.6,-0.2,0,SSE,2.7,Aotizhongxin
625,2013,3,27,0,143,230,44,86,1100,2,8,1002.9,3.8,0,SSW,1.5,Aotizhongxin
637,2013,3,27,12,132,129,50,49,900,51,18.6,1003.2,-5.5,0,NNW,5.4,Aotizhongxin
649,2013,3,28,0,16,33,6,34,400,60,6.8,1014.4,-14.1,0,ENE,2.3,Aotizhongxin
661,2013,3,28,12,10,39,10,26,500,67,10.7,1016.3,-10.8,0,NNW,2.7,Aotizhongxin
